,entrance,dairy,drinks,fruit,spices,checkout
entrance,0,0.2875755540631296,0.15352585627938214,0.3774345198119543,0.18146406984553393,0.0
dairy,0,0.0,0.22315112540192927,0.18992497320471596,0.1957127545551983,0.3912111468381565
drinks,0,0.027158595951831923,0.0,0.21906225980015373,0.2167563412759416,0.5370228029720727
fruit,0,0.2383186705767351,0.13626588465298142,0.0,0.12590420332355817,0.4995112414467253
spices,0,0.32355294745265406,0.27313950386769803,0.15230728194185117,0.0,0.25100026673779674
checkout,0,0.0,0.0,0.0,0.0,1.0
